sku,date,qty,unit_price
20724,2010-12-01,4.0,1.66
20724,2010-12-02,21.0,0.85
20724,2010-12-03,39.0,1.66
20724,2010-12-05,7.0,0.85
20724,2010-12-06,12.0,1.66
20724,2010-12-07,80.0,2.51
20724,2010-12-08,47.0,0.85
20724,2010-12-09,16.0,0.85
20724,2010-12-10,118.0,1.66
20724,2010-12-12,11.0,0.85
20724,2010-12-13,28.0,1.66
20724,2010-12-14,105.0,0.85
20724,2010-12-15,21.0,0.85
20724,2010-12-16,30.0,0.85
20724,2010-12-17,6.0,1.66
20724,2010-12-20,22.0,1.66
20724,2010-12-21,135.0,2.51
20724,2010-12-22,10.0,0.85
20724,2010-12-23,4.0,2.51
20724,2011-01-04,20.0,0.85
20724,2011-01-05,1.0,1.66
20724,2011-01-06,46.0,2.51
20724,2011-01-07,111.0,0.85
20724,2011-01-09,40.0,0.85
20724,2011-01-10,25.0,1.66
20724,2011-01-11,60.0,2.46
20724,2011-01-12,6.0,1.66
20724,2011-01-13,32.0,1.63
20724,2011-01-14,32.0,1.63
20724,2011-01-16,10.0,0.85
20724,2011-01-17,13.0,1.63
20724,2011-01-18,38.0,2.46
20724,2011-01-19,1.0,1.63
20724,2011-01-20,2.0,1.63
20724,2011-01-21,42.0,1.63
20724,2011-01-24,23.0,0.85
20724,2011-01-25,47.0,2.46
20724,2011-01-26,10.0,0.85
20724,2011-01-27,10.0,0.85
20724,2011-01-28,42.0,1.63
20724,2011-01-31,24.0,2.46
20724,2011-02-01,40.0,0.85
20724,2011-02-02,1.0,1.63
20724,2011-02-03,60.0,0.85
20724,2011-02-04,36.0,2.46
20724,2011-02-06,120.0,0.85
20724,2011-02-07,1.0,1.63
20724,2011-02-08,71.0,1.63
20724,2011-02-09,7.0,1.63
20724,2011-02-11,28.0,2.46
20724,2011-02-13,10.0,0.85
20724,2011-02-14,6.0,0.85
20724,2011-02-15,2.0,1.63
20724,2011-02-16,21.0,0.85
20724,2011-02-17,17.0,1.63
20724,2011-02-18,11.0,1.63
20724,2011-02-20,100.0,0.72
20724,2011-02-22,10.0,0.85
20724,2011-02-23,42.0,1.63
20724,2011-02-24,31.0,0.85
20724,2011-02-25,33.0,0.85
20724,2011-02-27,100.0,0.72
